primitive_id,category,provenance_shape,primary_failure_class,note,contract_state
PROJECT,STRUCTURAL,ONE_TO_ONE,SEMANTIC,\N,CONSTITUTIONAL_PRIMITIVE
RENAME,STRUCTURAL,ONE_TO_ONE,SEMANTIC,\N,CONSTITUTIONAL_PRIMITIVE
FILTER,SELECTION,ONE_TO_ZERO_OR_ONE,SEMANTIC,\N,CONSTITUTIONAL_PRIMITIVE
JOIN,COMPOSITION,TWO_TO_ONE,SEMANTIC,\N,CONSTITUTIONAL_PRIMITIVE
LEFT_JOIN,COMPOSITION,LEFT_PLUS_ZERO_OR_ONE_RIGHT,SEMANTIC,preserves unmatched left evidence,CONSTITUTIONAL_PRIMITIVE
CROSS_JOIN,COMPOSITION,TWO_TO_ONE,SEMANTIC,\N,CONSTITUTIONAL_PRIMITIVE
AGGREGATE,REDUCTION,GROUP_TO_ONE,EXECUTION,groups only observed evidence,CONSTITUTIONAL_PRIMITIVE
DERIVE,DERIVATION,ONE_TO_ONE,EXECUTION,new values require explicit expressions,CONSTITUTIONAL_PRIMITIVE
